Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH1801006115A,Applications,38,1,4,A,6,1,Published,Pending,520000
TH53323B,Patents,32,1,2,B,4,7,Granted,Active,520000
TH54547B,Patents,-,1,3,F,3,32,Granted,Active,520000
TH53298B,Patents,-,1,2,A,3,30,Granted,Active,520000
TH84707B,Patents,25,1,1,F,5,3,Granted,Active,520000
TH56481B,Patents,-,1,3,A,3,2,Granted,Active,520000
TH70177B,Patents,45,1,3,F,4,16,Granted,Active,520000
TH38063B,Patents,14,1,1,A,5,17,Granted,Active,520000
TH41885B,Patents,16,1,1,B,13,28,Ceased,Inactive,520000
TH138877A,Applications,1,1,3,A,14,130,Examining,Pending,510000
TH135157A,Applications,1,1,4,A,9,37,Examining,Pending,510000
TH1901000553A,Applications,29,1,6,B,10,2,Published,Pending,510000
TH63598B,Patents,24,1,5,A,11,27,Granted,Active,510000
TH75581B,Patents,37,1,1,A,9,72,Granted,Active,510000
TH80725B,Patents,23,1,1,F,6,10,Granted,Active,510000
TH85553B,Patents,53,1,2,F,4,8,Granted,Active,510000
TH29923B,Patents,26,1,3,B,9,9,Granted,Active,510000
TH75897B,Patents,10,4,11,A,5,9,Granted,Active,510000
TH50446B,Patents,22,1,1,B,17,80,Ceased,Inactive,510000
TH79023B,Patents,-,1,6,F,3,14,Granted,Active,510000
TH80286B,Patents,-,1,2,B,4,11,Granted,Active,510000
TH65046B,Patents,28,1,2,F,5,11,Granted,Active,510000
TH77361B,Patents,31,1,2,F,4,9,Granted,Active,510000
TH66867B,Patents,-,1,1,F,6,14,Granted,Active,510000
TH39705B,Patents,30,1,2,B,5,14,Granted,Active,510000
TH56526B,Patents,-,1,4,A,4,1,Granted,Active,510000
TH2001005132A,Applications,20,1,4,A,21,1,Published,Pending,510000
TH1901005849A,Applications,76,1,10,B,8,2,Published,Pending,510000
TH119673A,Applications,1,2,4,A,6,10,Examining,Pending,500000
TH129192A,Applications,1,1,6,C,10,52,Examining,Pending,500000
TH129220A,Applications,1,1,2,A,6,22,Examining,Pending,500000
TH180394A,Applications,2,1,3,B,6,3,Examining,Pending,500000
TH1901006346A,Applications,17,1,4,F,9,5,Published,Pending,500000
TH65938B,Patents,13,1,3,F,11,8,Granted,Active,500000
TH71297B,Patents,23,1,2,B,7,10,Granted,Active,500000
TH50337B,Patents,-,1,2,A,4,9,Granted,Active,500000
TH78109B,Patents,-,1,2,A,3,7,Granted,Active,500000
TH67193B,Patents,12,1,6,C,5,3,Granted,Active,500000
TH80733B,Patents,16,1,4,B,6,3,Granted,Active,500000
TH65347B,Patents,33,1,2,F,4,9,Granted,Active,500000
TH60958B,Patents,25,1,3,A,5,3,Granted,Active,500000
TH1801000544A,Applications,38,1,4,C,5,6,Published,Pending,500000
TH90256B,Patents,2,1,1,A,6,2,Examining,Pending,500000
TH2001006836A,Applications,20,1,1,B,9,3,Published,Pending,500000
TH132368A,Applications,1,1,4,C,5,6,Examining,Pending,490000
TH135161A,Applications,1,1,20,A,15,9,Examining,Pending,490000
TH130014A,Applications,1,1,4,A,5,45,Examining,Pending,490000
TH1901003829A,Applications,44,2,2,A,11,1,Examining,Pending,490000
TH1801000324A,Applications,2,2,2,B,7,5,Granted,Active,490000
TH75848B,Patents,24,1,2,B,6,57,Granted,Active,490000
TH78915B,Patents,43,1,2,B,4,4,Granted,Active,490000
TH79780B,Patents,17,1,1,A,8,0,Granted,Active,490000
TH86228B,Patents,7,1,8,F,5,12,Granted,Active,490000
TH72402B,Patents,-,2,2,C,3,8,Granted,Active,490000
TH77792B,Patents,-,2,4,A,3,26,Granted,Active,490000
TH68552B,Patents,24,1,6,C,18,216,Ceased,Inactive,490000
TH81704B,Patents,43,1,2,B,5,3,Granted,Active,490000
TH2001006936A,Applications,100,1,8,A,36,49,Examining,Pending,490000
TH162633A,Applications,2,1,1,F,6,10,Examining,Pending,480000
TH135168A,Applications,1,1,7,C,25,8,Examining,Pending,480000
TH121138A,Applications,1,1,1,A,12,31,Examining,Pending,480000
TH134956A,Applications,1,1,6,A,21,19,Examining,Pending,480000
TH175466A,Applications,2,1,3,F,16,25,Published,Pending,480000
TH1901006233A,Applications,37,2,2,A,9,1,Published,Pending,480000
TH65294B,Patents,42,1,4,B,6,16,Granted,Active,480000
TH69975B,Patents,26,1,2,B,8,3,Granted,Active,480000
TH71841B,Patents,18,1,1,A,9,0,Granted,Active,480000
TH65487B,Patents,21,1,3,C,5,9,Granted,Active,480000
TH55889B,Patents,-,1,1,B,4,7,Granted,Active,480000
TH68565B,Patents,-,1,3,F,5,28,Granted,Active,480000
TH56664B,Patents,20,1,2,A,4,11,Granted,Active,480000
TH84299B,Patents,-,1,2,F,4,0,Granted,Active,480000
TH73367B,Patents,-,1,3,B,3,4,Granted,Active,480000
TH89873B,Patents,53,1,6,F,4,40,Granted,Active,480000
TH126639A,Applications,1,1,3,A,9,15,Examining,Pending,470000
TH156680A,Applications,1,-,5,A,5,8,Examining,Pending,470000
TH1801000965A,Applications,20,1,3,F,4,6,Published,Pending,470000
TH1801002413A,Applications,43,1,7,A,10,4,Published,Pending,470000
TH1901000790A,Applications,21,1,1,F,11,10,Examining,Pending,470000
TH18740U,Utility models,12,2,4,C,10,2,Granted,Active,470000
TH1901006607A,Applications,23,2,1,B,6,4,Examining,Pending,470000
TH78334B,Patents,35,1,4,C,5,16,Granted,Active,470000
TH81984B,Patents,-,1,3,B,4,5,Granted,Active,470000
TH70628B,Patents,-,1,1,H,3,7,Granted,Active,470000
TH56332B,Patents,-,1,5,A,4,4,Granted,Active,470000
TH56524B,Patents,61,1,4,A,21,77,Ceased,Inactive,470000
TH53960B,Patents,10,1,5,B,4,1,Granted,Active,470000
TH81273B,Patents,17,1,2,F,7,6,Granted,Active,470000
TH83722B,Patents,24,1,2,A,12,46,Granted,Active,470000
TH86877B,Patents,36,1,4,D,5,11,Granted,Active,470000
TH90398B,Patents,2,1,1,B,3,17,Granted,Active,470000
TH163400A,Applications,2,-,-,A,11,9,Examining,Pending,460000
TH183203A,Applications,1,1,6,C,8,0,Examining,Pending,460000
TH1801006432A,Applications,43,1,4,A,8,5,Published,Pending,460000
TH1901002504A,Applications,27,1,4,C,10,3,Published,Pending,460000
TH17602U,Utility models,32,1,2,B,7,0,Granted,Active,460000
TH58535B,Patents,-,1,2,F,6,10,Granted,Active,460000
TH78816B,Patents,-,1,6,B,4,4,Granted,Active,460000
TH51341B,Patents,-,1,2,B,3,28,Granted,Active,460000
TH71845B,Patents,27,1,1,F,4,2,Granted,Active,460000
TH67484B,Patents,-,1,2,F,5,2,Granted,Active,460000
TH78637B,Patents,12,1,1,B,5,36,Granted,Active,460000
TH63461B,Patents,25,1,3,A,7,0,Granted,Active,460000
TH67402B,Patents,-,1,2,B,3,4,Granted,Active,460000
TH74969B,Patents,12,1,4,F,6,12,Ceased,Inactive,460000
TH83346B,Patents,41,1,6,F,4,9,Granted,Active,460000
TH41377B,Patents,-,1,3,F,3,30,Granted,Active,460000
TH60736B,Patents,30,1,4,A,4,14,Granted,Active,460000
TH40965B,Patents,28,1,1,B,4,7,Granted,Active,460000
TH147249A,Applications,1,1,2,A,9,9,Published,Pending,450000
TH146789A,Applications,1,1,3,A,17,3,Published,Pending,450000
TH101291A,Applications,1,1,4,A,12,24,Published,Pending,450000
TH136350A,Applications,1,1,1,A,12,7,Withdrawn,Inactive,450000
TH1701005541A,Applications,28,1,2,F,7,2,Published,Pending,450000
TH1901007187A,Applications,41,1,3,A,15,0,Examining,Pending,450000
TH1701005413A,Applications,2,1,2,B,5,0,Examining,Pending,450000
TH2001004029A,Applications,48,1,11,F,8,12,Examining,Pending,450000
TH83130B,Patents,-,1,4,A,6,5,Granted,Active,450000
TH63599B,Patents,80,1,5,B,15,7,Ceased,Inactive,450000
TH62772B,Patents,22,1,3,F,8,10,Granted,Active,450000
TH84772B,Patents,40,1,5,B,5,2,Granted,Active,450000
TH80889B,Patents,32,1,5,A,4,20,Granted,Active,450000
TH55023B,Patents,-,1,1,B,4,13,Granted,Active,450000
TH78200B,Patents,2,2,5,F,3,12,Granted,Active,450000
TH57184B,Patents,28,1,4,C,5,1,Granted,Active,450000
TH1901004616A,Applications,44,1,4,A,9,4,Examining,Pending,450000
TH2001004305A,Applications,23,2,3,A,18,4,Examining,Pending,450000
TH87185B,Patents,21,1,3,B,4,7,Granted,Active,450000
TH65564A,Applications,1,1,2,A,16,125,Examining,Pending,440000
TH174253A,Applications,1,1,7,C,7,33,Published,Pending,440000
TH179229A,Applications,1,1,4,C,9,7,Examining,Pending,440000
TH1801002202A,Applications,48,1,2,C,5,6,Published,Pending,440000
TH1801006302A,Applications,14,1,4,B,15,0,Published,Pending,440000
TH1801007123A,Applications,48,1,2,C,7,35,Published,Pending,440000
TH66977B,Patents,38,1,4,B,4,3,Granted,Active,440000
TH32078B,Patents,8,1,3,B,14,11,Granted,Active,440000
TH27380B,Patents,11,1,1,B,13,148,Granted,Active,440000
TH75663B,Patents,19,1,2,A,7,1,Granted,Active,440000
TH84817B,Patents,25,2,2,B,5,4,Granted,Active,440000
TH84425B,Patents,17,1,2,F,5,8,Granted,Active,440000
TH1901003125A,Applications,18,1,1,B,6,7,Examining,Pending,440000
TH2001005462A,Applications,13,1,1,B,14,1,Published,Pending,440000
TH118930A,Applications,1,1,4,C,3,11,Examining,Pending,430000
TH147223A,Applications,1,1,10,C,18,118,Published,Pending,430000
TH130501A,Applications,1,1,2,C,11,0,Examining,Pending,430000
TH132227A,Applications,1,1,1,C,8,30,Examining,Pending,430000
TH172517A,Applications,2,1,1,A,14,24,Published,Pending,430000
TH14306U,Utility models,2,1,2,A,11,3,Granted,Active,430000
TH1701004588A,Applications,36,1,2,A,6,2,Published,Pending,430000
TH77731B,Patents,28,1,1,F,4,34,Granted,Active,430000
TH82043B,Patents,14,1,5,A,6,16,Granted,Active,430000
TH83718B,Patents,14,1,4,G,7,7,Granted,Active,430000
TH33034B,Patents,-,1,1,B,4,0,Granted,Active,430000
TH70792B,Patents,24,1,3,B,6,7,Granted,Active,430000
TH2001001704A,Applications,23,1,10,A,10,6,Published,Pending,430000
TH2001002027A,Applications,163,1,11,C,23,17,Published,Pending,430000
TH2001006515A,Applications,34,1,4,B,11,6,Published,Pending,430000
TH163267A,Applications,1,1,3,A,7,6,Examining,Pending,420000
TH177350A,Applications,2,1,1,A,10,8,Examining,Pending,420000
TH1801005067A,Applications,2,1,1,F,4,5,Published,Pending,420000
TH1801004079A,Applications,2,1,4,A,4,11,Examining,Pending,420000
TH1701004492A,Applications,142,9,10,C,23,31,Published,Pending,420000
TH1901000428A,Applications,2,1,6,B,6,4,Examining,Pending,420000
TH1701006660A,Applications,2,1,4,F,5,2,Examining,Pending,420000
TH54494B,Patents,38,1,2,B,15,9,Ceased,Inactive,420000
TH63761B,Patents,-,1,1,B,4,3,Granted,Active,420000
TH61098B,Patents,-,1,2,F,5,6,Granted,Active,420000
TH78598B,Patents,-,1,3,B,3,4,Granted,Active,420000
TH65769B,Patents,65,1,1,B,12,21,Ceased,Inactive,420000
TH83688B,Patents,19,2,1,B,8,2,Granted,Active,420000
TH85732B,Patents,-,1,5,F,4,0,Granted,Active,420000
TH56377B,Patents,32,1,1,B,4,3,Granted,Active,420000
TH2001000615A,Applications,31,1,2,B,6,4,Examining,Pending,420000
TH89772B,Patents,40,1,1,B,5,8,Granted,Active,420000
TH89867B,Patents,75,1,2,F,4,3,Granted,Active,420000
TH129936A,Applications,1,1,3,C,5,5,Examining,Pending,410000
TH96600A,Applications,1,1,2,C,3,12,Examining,Pending,410000
TH115633A,Applications,2,1,4,A,13,8,Withdrawn,Inactive,410000
TH135610A,Applications,1,1,2,A,4,7,Examining,Pending,410000
TH174401A,Applications,2,1,4,F,14,7,Published,Pending,410000
TH175420A,Applications,1,1,3,C,5,12,Published,Pending,410000
TH176511A,Applications,2,1,1,B,4,5,Published,Pending,410000
TH1901006965A,Applications,39,1,12,A,24,4,Examining,Pending,410000
TH1801001529A,Applications,44,1,2,F,5,13,Published,Pending,410000
TH57121B,Patents,22,2,3,A,5,6,Granted,Active,410000
TH69154B,Patents,13,1,1,F,6,33,Granted,Active,410000
TH46161B,Patents,-,1,2,F,3,15,Granted,Active,410000
TH67694B,Patents,58,1,2,B,5,3,Ceased,Inactive,410000
TH35774B,Patents,6,1,1,H,12,220,Expired,Inactive,410000
TH73690B,Patents,25,1,6,F,6,13,Granted,Active,410000
TH60204B,Patents,12,1,2,B,4,0,Granted,Active,410000
TH61111B,Patents,9,1,1,F,5,9,Granted,Active,410000
TH43614B,Patents,19,1,4,F,5,13,Granted,Active,410000
TH1901002238A,Applications,24,1,2,B,4,8,Published,Pending,410000
TH90480B,Patents,2,1,1,B,6,0,Granted,Active,410000
TH90671B,Patents,1,1,3,A,5,7,Granted,Active,410000
TH153615A,Applications,1,2,4,A,3,6,Examining,Pending,400000
TH126671A,Applications,2,1,1,B,19,19,Withdrawn,Inactive,400000
TH152538A,Applications,1,1,2,C,5,1,Examining,Pending,400000
TH1801004596A,Applications,21,1,4,A,10,4,Examining,Pending,400000
TH1901006232A,Applications,39,2,2,A,9,4,Published,Pending,400000
TH1701001230A,Applications,15,1,6,B,9,2,Published,Pending,400000
TH58542B,Patents,-,1,3,F,7,18,Granted,Active,400000
TH76865B,Patents,15,1,1,A,15,2,Non-payment,Inactive,400000
TH64577B,Patents,-,1,4,F,3,50,Granted,Active,400000
TH52222B,Patents,24,1,3,C,12,9,Granted,Active,400000
TH65208B,Patents,14,1,1,B,25,30,Granted,Active,400000
TH57115B,Patents,-,1,2,B,3,1,Granted,Active,400000
TH63521B,Patents,28,1,4,B,5,11,Granted,Active,400000
TH33834B,Patents,13,1,2,F,8,7,Granted,Active,400000
TH65948B,Patents,-,1,1,B,3,1,Granted,Active,400000
TH58036B,Patents,-,1,4,C,3,4,Granted,Active,400000
TH52089B,Patents,73,1,1,C,25,53,Granted,Active,400000
TH83424B,Patents,22,1,1,F,5,8,Granted,Active,400000
TH59382B,Patents,1,1,1,C,3,17,Granted,Active,400000
TH86705B,Patents,-,1,2,B,3,11,Granted,Active,400000
TH138079A,Applications,1,1,3,A,10,6,Examining,Pending,390000
TH91152A,Applications,1,1,4,A,9,0,Withdrawn,Inactive,390000
TH137499A,Applications,1,1,3,C,15,5,Withdrawn,Inactive,390000
TH149244A,Applications,1,1,3,A,11,37,Published,Pending,390000
TH182803A,Applications,2,1,1,A,4,8,Published,Pending,390000
TH1501007946A,Applications,34,1,1,A,5,9,Published,Pending,390000
TH74838B,Patents,-,1,2,A,6,6,Granted,Active,390000
TH60391B,Patents,33,1,1,F,4,21,Granted,Active,390000
TH50927B,Patents,14,1,3,C,9,108,Ceased,Inactive,390000
TH80986B,Patents,-,1,5,A,3,9,Granted,Active,390000
TH54001B,Patents,5,1,2,A,6,5,Granted,Active,390000
TH76238B,Patents,-,1,3,A,3,8,Granted,Active,390000
TH58040B,Patents,21,1,2,A,9,33,Granted,Active,390000
TH50524B,Patents,19,1,2,F,6,79,Granted,Active,390000
TH28522B,Patents,-,2,1,F,5,18,Granted,Active,390000
TH85626B,Patents,13,1,1,A,8,13,Granted,Active,390000
TH85432B,Patents,34,1,4,B,4,3,Granted,Active,390000
TH77469B,Patents,35,1,1,F,4,15,Granted,Active,390000
TH71847B,Patents,24,1,1,F,4,9,Granted,Active,390000
TH2001000050A,Applications,18,2,2,A,11,12,Examining,Pending,390000
TH1901001414A,Applications,38,1,6,B,5,1,Published,Pending,390000
TH2001004504A,Applications,14,1,4,B,17,2,Examining,Pending,390000
TH1901006834A,Applications,58,1,2,B,22,2,Published,Pending,390000
TH88695B,Patents,59,1,4,B,5,4,Granted,Active,390000
TH92709B,Patents,1,1,4,A,1,0,Granted,Active,390000
TH109700A,Applications,2,1,1,B,7,10,Examining,Pending,380000
TH1801005187A,Applications,37,1,2,B,5,1,Examining,Pending,380000
TH1801007055A,Applications,24,2,4,B,4,7,Published,Pending,380000
TH84557A,Applications,1,1,5,A,10,42,Withdrawn,Inactive,380000
TH65173B,Patents,-,1,1,B,3,10,Granted,Active,380000
TH36093B,Patents,10,1,2,B,6,2,Granted,Active,380000
TH66364B,Patents,14,1,4,A,7,21,Ceased,Inactive,380000
TH70804B,Patents,31,1,1,F,4,9,Granted,Active,380000
TH48829B,Patents,91,1,3,B,7,16,Granted,Active,380000
TH2001001703A,Applications,21,1,10,A,11,4,Published,Pending,380000
TH91486B,Patents,2,1,1,B,7,1,Granted,Active,380000
TH151237A,Applications,1,3,5,A,3,5,Withdrawn,Inactive,370000
TH113787A,Applications,2,1,4,B,4,33,Granted,Active,370000
TH137008A,Applications,2,1,3,F,10,11,Withdrawn,Inactive,370000
TH1801004536A,Applications,25,1,2,B,16,7,Examining,Pending,370000
TH1801004670A,Applications,26,1,1,B,6,1,Published,Pending,370000
TH1801006175A,Applications,41,1,3,F,10,9,Examining,Pending,370000
TH1701001171A,Applications,42,1,8,A,26,3,Published,Pending,370000
TH44296B,Patents,-,2,6,B,3,22,Granted,Active,370000
TH81458B,Patents,34,1,2,F,4,1,Granted,Active,370000
TH80113B,Patents,18,1,2,B,5,4,Granted,Active,370000
TH50329B,Patents,13,1,2,F,6,4,Granted,Active,370000
TH49399B,Patents,17,1,1,B,5,47,Granted,Active,370000
TH32937B,Patents,1,1,6,A,3,17,Granted,Active,370000
TH70805B,Patents,35,1,1,F,4,8,Ceased,Inactive,370000
TH2001004084A,Applications,29,1,9,A,9,2,Published,Pending,370000
TH139465A,Applications,1,1,6,C,5,7,Examining,Pending,360000
TH132139A,Applications,1,1,4,A,6,30,Examining,Pending,360000
TH120999A,Applications,1,1,7,C,4,23,Examining,Pending,360000
TH175141A,Applications,1,1,6,A,12,5,Examining,Pending,360000
TH183144A,Applications,2,1,1,B,3,9,Published,Pending,360000
TH1801005437A,Applications,24,1,2,B,4,9,Published,Pending,360000
TH1901001842A,Applications,47,1,11,A,6,6,Published,Pending,360000
TH51198B,Patents,9,1,3,F,8,142,Ceased,Inactive,360000
TH56998B,Patents,32,1,2,F,6,16,Granted,Active,360000
TH74406B,Patents,40,1,1,B,8,21,Granted,Active,360000
TH80574B,Patents,-,1,4,F,3,9,Granted,Active,360000
TH61936B,Patents,-,1,2,F,3,7,Granted,Active,360000
TH50929B,Patents,22,1,3,F,5,29,Ceased,Inactive,360000
TH67422B,Patents,13,1,2,B,6,14,Granted,Active,360000
TH71672B,Patents,28,1,2,B,4,0,Granted,Active,360000
TH70204B,Patents,-,1,1,A,3,1,Granted,Active,360000
TH2001000203A,Applications,84,2,7,B,8,6,Published,Pending,360000
TH1901006207A,Applications,51,1,1,A,6,10,Published,Pending,360000
TH90259B,Patents,1,1,4,C,5,13,Granted,Active,360000
TH127134A,Applications,1,1,5,A,4,28,Examining,Pending,350000
TH134002A,Applications,1,1,1,C,7,0,Examining,Pending,350000
TH112319A,Applications,1,1,2,C,6,29,Withdrawn,Inactive,350000
TH133915A,Applications,1,1,3,C,6,5,Examining,Pending,350000
TH173524A,Applications,1,1,4,A,8,7,Published,Pending,350000
TH1801004805A,Applications,20,1,1,B,20,1,Examining,Pending,350000
TH2001006651A,Applications,36,1,1,A,14,0,Examining,Pending,350000
TH1801007424A,Applications,83,1,10,A,15,14,Examining,Pending,350000
TH16461U,Utility models,3,2,3,A,5,0,Granted,Active,350000
TH64514B,Patents,2,1,3,B,5,1,Granted,Active,350000
TH78768B,Patents,18,1,1,A,9,4,Granted,Active,350000
TH79333B,Patents,-,1,3,A,4,1,Granted,Active,350000
TH78354B,Patents,24,1,10,C,12,33,Granted,Active,350000
TH39458B,Patents,27,1,5,B,10,50,Granted,Active,350000
TH69877B,Patents,12,1,1,F,6,16,Granted,Active,350000
TH79332B,Patents,-,1,5,F,3,14,Granted,Active,350000
TH52953B,Patents,32,1,1,B,7,20,Granted,Active,350000
TH72227B,Patents,26,1,1,A,7,3,Granted,Active,350000
TH68692B,Patents,-,1,1,B,3,5,Granted,Active,350000
TH1901005164A,Applications,153,1,16,A,19,12,Published,Pending,350000
TH2001002849A,Applications,26,1,2,B,7,3,Examining,Pending,350000
TH19825U,Utility models,13,2,6,B,13,1,Granted,Active,350000
TH88614B,Patents,22,1,8,F,7,4,Granted,Active,350000
TH87782B,Patents,9,2,4,C,10,3,Granted,Active,350000
TH79292A,Applications,1,1,3,A,6,57,Examining,Pending,340000
TH156873A,Applications,1,2,3,A,3,4,Examining,Pending,340000
TH126194A,Applications,2,1,3,A,6,7,Examining,Pending,340000
TH134742A,Applications,1,1,1,A,10,21,Examining,Pending,340000
TH126643A,Applications,1,1,1,A,12,10,Examining,Pending,340000
TH145354A,Applications,2,1,6,A,4,27,Examining,Pending,340000
TH161455A,Applications,2,1,2,B,8,0,Published,Pending,340000
TH1801005353A,Applications,20,1,5,A,6,0,Published,Pending,340000
TH1801002034A,Applications,16,1,1,B,8,8,Examining,Pending,340000
TH1801001132A,Applications,2,1,4,F,5,19,Examining,Pending,340000
TH44302B,Patents,24,1,1,B,4,2,Granted,Active,340000
TH83520B,Patents,-,1,4,F,4,45,Granted,Active,340000
TH53931B,Patents,11,1,1,C,6,39,Granted,Active,340000
TH58334B,Patents,22,1,3,F,6,5,Granted,Active,340000
TH61729B,Patents,-,1,4,F,4,17,Granted,Active,340000
TH50820B,Patents,-,1,2,C,4,5,Granted,Active,340000
TH63308B,Patents,30,1,2,B,5,6,Granted,Active,340000
TH75474B,Patents,-,2,4,A,3,22,Granted,Active,340000
TH2001004829A,Applications,26,1,1,B,8,21,Published,Pending,340000
TH91332B,Patents,1,1,12,C,1,0,Granted,Active,340000
TH91407B,Patents,23,1,1,B,1,0,Granted,Active,340000
TH164144A,Applications,1,1,6,A,12,0,Examining,Pending,330000
TH139009A,Applications,1,1,8,C,5,4,Examining,Pending,330000
TH125639A,Applications,1,1,1,B,8,8,Examining,Pending,330000
TH180797A,Applications,1,1,2,C,6,2,Examining,Pending,330000
TH2001000721A,Applications,41,1,6,A,7,0,Examining,Pending,330000
TH2001000553A,Applications,33,1,1,B,6,8,Examining,Pending,330000
TH1701000554A,Applications,85,1,4,C,12,3,Published,Pending,330000
TH50211B,Patents,15,1,2,F,10,28,Granted,Active,330000
TH78136B,Patents,2,2,3,F,3,6,Granted,Active,330000
TH78774B,Patents,17,1,1,F,5,0,Granted,Active,330000
TH68397B,Patents,-,2,3,A,9,1,Granted,Active,330000
TH85057B,Patents,28,1,2,F,6,3,Granted,Active,330000
TH71147B,Patents,39,2,2,A,4,33,Granted,Active,330000
TH72303B,Patents,-,1,6,A,3,10,Granted,Active,330000
TH61421B,Patents,35,1,2,A,5,12,Granted,Active,330000
TH84838B,Patents,-,1,5,F,4,15,Granted,Active,330000
TH2001005654A,Applications,22,4,1,F,10,0,Published,Pending,330000
TH148848A,Applications,1,2,7,A,9,4,Examining,Pending,320000
TH165189A,Applications,2,2,5,F,3,9,Examining,Pending,320000
TH112137A,Applications,1,1,4,C,4,24,Examining,Pending,320000
TH177169A,Applications,1,1,4,A,4,9,Examining,Pending,320000
TH68393B,Patents,21,1,3,A,4,4,Granted,Active,320000
TH86010B,Patents,-,1,4,F,3,2,Granted,Active,320000
